"","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","Secretaría Ejecutiva del Consejo Monetario Centroamericano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Balanza de pagos","Balanza de pagos","Balanza de pagos","Balanza de pagos","Balanza de pagos","Balanza de pagos","Balanza de pagos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cuenta financiera","Cuenta financiera","Cuenta financiera","Cuenta financiera","Cuenta financiera","Cuenta financiera","Cuenta financiera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.","Unidad de medida: Millones de US dólares.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fechas","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","República Dominicana","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá","Panamá"
"5","","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado","Cuenta financiera","Inversión directa neta","Inversión directa: activos","Inversión directa: pasivos","Inversión de cartera neta","Derivados financieros: neto","Balance de otra inversión","Cuenta financiera, acumulado","Inversión directa neta, acumulado","Inversión directa: activos, acumulado","Inversión directa: pasivos, acumulado","Inversión de cartera neta, acumulado","Derivados financieros: neto, acumulado","Balance de otra inversión, acumulado"
"6","2018-I","75.48","-389.17","133.40","522.56","135.58","-2.04","-1006.25","75.48","-389.17","133.40","522.56","135.58","-2.04","-1006.25","-200.33","-388.20","15.13","403.33","-31.36","0","384.03","-200.33","-388.20","15.13","403.33","-31.36","0","384.03","366.14","-206.55","20.83","227.38","121.42","0","457.96","366.14","-206.55","20.83","227.38","121.42","0","457.96","-169.21","-281.34","-15.24","266.10","-6.66","0","77.96","-169.21","-281.34","-15.24","266.10","-6.66","0","77.96","-90.90","-291.10","-4.80","286.30","-9.00","0","115.70","-90.90","-291.10","-4.80","286.30","-9.00","0","115.70","562.20","-627.40","60.20","687.60","-1751.80","0","2147.40","562.20","-627.40","60.20","687.60","-1751.80","0","2147.40","15.32","-605.34","79.35","684.69","727.29","10.61","605.29","15.32","-605.34","79.35","684.69","727.29","10.61","605.29"
"7","2018-II","-242.66","-252.01","270.19","522.20","347.02","-2.03","41.85","-167.17","-641.17","403.59","1044.76","482.60","-4.06","-964.40","-232.30","-102.23","78.11","180.34","77.46","0","-622.12","-432.62","-490.43","93.24","583.68","46.10","0","-238.09","-139.38","-136.03","45.68","181.71","2.91","0","-278.46","226.76","-342.58","66.52","409.10","124.34","0","179.51","-82.85","-74.85","189.88","264.73","7.02","0","-69.95","-252.07","-356.19","174.64","530.83","0.36","0","8.01","-376.90","-265.20","2.60","267.80","-29.60","0","212.90","-467.80","-556.30","-2.20","554.10","-38.60","0","328.60","-1299.10","-618.20","64.80","683.00","439.40","0","-151.10","-736.90","-1245.60","125.00","1370.60","-1312.40","0","1996.30","-2624.37","-1984.65","383.60","2368.25","-1319.07","1.72","574.79","-2609.05","-2589.99","462.95","3052.94","-591.78","12.33","1180.08"
"8","2018-III","-577.19","-555.63","230.92","786.54","375.67","-1.98","183.39","-744.37","-1196.80","634.50","1831.30","858.27","-6.05","-781.01","-125.15","-49.16","49.37","98.53","92.76","0","-311.31","-557.78","-539.59","142.61","682.20","138.86","0","-549.40","193.16","-121.85","20.37","142.22","-18.59","0","-16.49","419.92","-464.43","86.88","551.31","105.74","0","163.02","-138.51","-155.44","175.70","331.14","21.24","0","253.14","-390.58","-511.63","350.35","861.97","21.60","0","261.15","-115.60","-66.90","11.40","78.30","-32.10","0","300.90","-583.40","-623.20","9.20","632.40","-70.70","0","629.50","-600.40","-460.60","40.50","501.10","-1274.90","0","373.70","-1337.30","-1706.20","165.50","1871.70","-2587.30","0","2370.00","-1737.78","-1073.79","18.33","1092.11","500.52","-45.21","-421.58","-4346.83","-3663.77","481.27","4145.05","-91.26","-32.88","758.51"
"9","2018-IV","-1458.25","-1236.99","-53.75","1183.24","173.58","-1.97","-412.67","-2202.61","-2433.79","580.75","3014.54","1031.85","-8.02","-1193.68","-689.80","-286.46","-555.92","-269.46","-29.29","0","9.35","-1247.58","-826.05","-413.30","412.74","109.57","0","-540.05","-35.63","-315.70","55.38","371.09","-11.70","0","-80.52","384.29","-780.13","142.26","922.40","94.04","0","82.50","-643.45","-383.56","197.05","580.61","32.83","0","-504.14","-1034.03","-895.19","547.40","1442.59","54.43","0","-242.99","-38.60","-139.30","65.90","205.20","10.40","0","135.50","-622.00","-762.50","75.10","837.60","-60.30","0","765.00","-900.50","-829.10","43.70","872.80","-108.80","0","-248.40","-2237.80","-2535.30","209.20","2744.50","-2696.10","0","2121.60","-1117.35","-906.40","-40.12","866.28","-445.98","53.87","-503.63","-5464.18","-4570.17","441.16","5011.33","-537.24","20.99","254.88"
"10","2019-I","301.62","-681.70","-20.30","661.40","-115.14","-2.06","260.75","301.62","-681.70","-20.30","661.40","-115.14","-2.06","260.75","208.95","-242.07","91.38","333.45","75.99","0","77.82","208.95","-242.07","91.38","333.45","75.99","0","77.82","624.75","-252.95","83.88","336.83","168.02","0","768.69","624.75","-252.95","83.88","336.83","168.02","0","768.69","-348.85","-278.51","116.72","395.23","9.30","0","-109.77","-348.85","-278.51","116.72","395.23","9.30","0","-109.77","-103.50","-244.10","10.80","254.90","75.30","0","212.60","-103.50","-244.10","10.80","254.90","75.30","0","212.60","-1908.90","-967.80","-162.20","805.60","-44.00","0","-623.20","-1908.90","-967.80","-162.20","805.60","-44.00","0","-623.20","49.02","-827.49","218.21","1045.70","511.87","37.25","542.03","49.02","-827.49","218.21","1045.70","511.87","37.25","542.03"
"11","2019-II","-109.31","-396.24","71.37","467.62","99.77","-2.05","756.19","192.30","-1077.94","51.07","1129.01","-15.37","-4.10","1016.94","-268.57","-141.50","-6.69","134.81","-34.33","0","-395.69","-59.62","-383.57","84.70","468.27","41.66","0","-317.87","410.26","-125.94","102.93","228.87","-1182.04","0","320.88","1035.02","-378.89","186.81","565.70","-1014.01","0","1089.57","162.22","14.26","134.86","120.61","-12.26","0","-76.50","-186.63","-264.26","251.58","515.84","-2.96","0","-186.27","275.20","-17.40","3.30","20.70","88.70","0","125.60","171.70","-261.50","14.10","275.60","164.00","0","338.20","1218.70","-587.20","-110.20","477.00","-1942.30","0","2384.90","-690.20","-1555.00","-272.40","1282.60","-1986.30","0","1761.70","981.09","-653.39","1035.36","1688.75","-810.51","15.08","2210.95","1030.12","-1480.88","1253.57","2734.45","-298.64","52.33","2752.98"
"12","2019-III","-561.75","-488.57","95.51","584.08","76.27","-2.00","183.98","-369.45","-1566.52","146.58","1713.09","60.90","-6.11","1200.92","253.12","-7.83","46.03","53.85","-961.85","0","662.17","193.51","-391.40","130.72","522.12","-920.19","0","344.30","226.33","-196.35","77.39","273.74","1.67","0","233.05","1261.34","-575.24","264.20","839.44","-1012.35","0","1322.63","158.03","52.50","74.41","21.90","0.94","0","116.17","-28.60","-211.75","325.99","537.75","-2.02","0","-70.10","129.80","-79.80","5.00","84.80","197.30","0","-41.60","301.50","-341.30","19.10","360.40","361.30","0","296.60","-1107.10","-963.70","61.20","1024.90","-233.00","0","1212.60","-1797.30","-2518.70","-211.20","2307.50","-2219.30","0","2974.30","-1028.40","-1502.38","-324.81","1177.57","-973.87","14.76","1067.13","1.72","-2983.26","928.76","3912.03","-1272.51","67.09","3820.11"
"13","2019-IV","-898.09","-1128.63","-122.69","1005.94","-1019.95","-1.99","-198.74","-1267.54","-2695.14","23.89","2719.03","-959.05","-8.10","1002.18","-332.04","-244.37","-70.20","174.16","902.79","0","-705.69","-138.53","-635.76","60.52","696.29","-17.40","0","-361.39","135.94","-221.04","110.27","331.32","345.57","0","-260.46","1397.28","-796.29","374.47","1170.76","-666.78","0","1062.17","-107.49","-283.85","133.49","417.35","-3.74","0","-561.70","-136.09","-495.61","459.49","955.10","-5.76","0","-631.80","43.50","-102.60","40.00","142.60","-19.30","0","52.90","345.00","-443.90","59.10","503.00","342.00","0","349.50","-214.70","-502.30","19.40","521.70","41.70","0","-937.20","-2012.00","-3021.00","-191.80","2829.20","-2177.60","0","2037.10","-2167.21","-390.65","-83.38","307.26","-2257.81","59.22","-434.48","-2165.49","-3373.91","845.38","4219.29","-3530.32","126.31","3385.63"
"14","2020-I","-272.30","-560.63","109.23","669.86","-41.81","-2.08","1269.88","-272.30","-560.63","109.23","669.86","-41.81","-2.08","1269.88","192.38","-73.23","-34.03","39.20","246.97","0","469.18","192.38","-73.23","-34.03","39.20","246.97","0","469.18","353.55","-269.38","49.93","319.31","-82.78","0","438.05","353.55","-269.38","49.93","319.31","-82.78","0","438.05","-170.27","-332.83","-134.45","198.38","35.66","0","-118.91","-170.27","-332.83","-134.45","198.38","35.66","0","-118.91","146.10","-163.00","5.00","168.00","18.60","0","119.90","146.10","-163.00","5.00","168.00","18.60","0","119.90","-571.60","-847.90","34.40","882.30","-2459.50","0","2194.90","-571.60","-847.90","34.40","882.30","-2459.50","0","2194.90","-1230.54","-926.15","-920.29","5.87","2049.40","-13.14","-1423.49","-1230.54","-926.15","-920.29","5.87","2049.40","-13.14","-1423.49"
"15","2020-II","140.68","-234.00","3.96","237.96","356.43","-2.07","-501.70","-131.62","-794.63","113.19","907.82","314.62","-4.15","768.18","-847.24","-285.16","-42.84","242.32","298.68","0","-690.25","-654.86","-358.39","-76.87","281.52","545.66","0","-221.07","912.61","-122.75","51.81","174.55","-1065.70","0","523.46","1266.16","-392.12","101.74","493.87","-1148.47","0","961.51","514.18","63.14","-7.32","-70.46","-650.32","0","-208.20","343.90","-269.70","-141.77","127.92","-614.66","0","-327.11","25.10","-166.80","3.00","169.80","50.60","0","-23.20","171.20","-329.80","8.00","337.80","69.20","0","96.70","-325.60","-265.50","49.30","314.80","539.60","0","1558.20","-897.20","-1113.40","83.70","1197.10","-1919.90","0","3753.10","-415.95","-444.71","-1566.19","-1121.48","-1635.11","-24.24","-486.03","-1646.49","-1370.86","-2486.48","-1115.61","414.29","-37.38","-1909.52"
"16","2020-III","4.93","-283.73","178.54","462.27","648.60","-2.02","-7.74","-126.69","-1078.36","291.73","1370.09","963.22","-6.17","760.44","-75.46","73.89","125.97","52.08","-658.44","0","-54.89","-730.31","-284.51","49.10","333.60","-112.78","0","-275.95","1355.61","-195.92","72.56","268.49","22.78","0","905.64","2621.77","-588.04","174.31","762.35","-1125.70","0","1867.14","228.96","-32.51","17.53","50.04","-28.51","0","156.26","572.86","-302.21","-124.24","177.97","-643.17","0","-170.84","52.10","-173.90","1.50","175.40","52.80","0","-97.00","223.30","-503.70","9.50","513.20","122.00","0","-0.30","-836.90","-716.30","-218.90","497.40","-3757.80","0","259.50","-1734.10","-1829.70","-135.20","1694.50","-5677.70","0","4012.60","1151.92","920.90","365.65","-555.24","-3360.12","27.94","-574.99","-494.57","-449.97","-2120.82","-1670.85","-2945.84","-9.44","-2484.50"
"17","2020-IV","-145.05","-565.90","167.01","732.91","813.98","-2.01","602.03","-271.74","-1644.27","458.74","2103.00","1777.20","-8.18","1362.47","-476.80","3.87","43.27","39.41","363.54","0","92.84","-1207.11","-280.64","92.37","373.01","250.76","0","-183.11","564.36","-194.58","47.44","242.02","803.25","0","-757.15","3186.13","-782.62","221.75","1004.37","-322.44","0","1109.99","869.81","-70.82","-12.77","58.05","554.35","0","-248.27","1442.68","-373.03","-137.01","236.02","-88.82","0","-419.11","-20.20","-203.30","30.00","233.30","9.20","0","-128.10","203.10","-707.00","39.50","746.50","131.20","0","-128.40","-467.70","-729.90","36.20","766.10","57.60","0","5.00","-2201.80","-2559.60","-99.00","2460.60","-5620.10","0","4017.60","563.42","391.79","-413.87","-805.67","943.16","42.81","-451.06","68.86","-58.18","-2534.69","-2476.52","-2002.68","33.36","-2935.57"
"18","2021-I","-372.63","-736.69","122.94","859.62","725.14","-2.10","-311.39","-372.63","-736.69","122.94","859.62","725.14","-2.10","-311.39","-161.29","-175.55","162.63","338.19","202.40","0","432.58","-161.29","-175.55","162.63","338.19","202.40","0","432.58","512.25","-224.22","100.93","325.15","-232.79","0","598.31","512.25","-224.22","100.93","325.15","-232.79","0","598.31","-150.37","-261.38","150.85","412.23","70.16","0","-71.42","-150.37","-261.38","150.85","412.23","70.16","0","-71.42","-296.90","-547.80","1.30","549.10","-42.80","0","154.00","-296.90","-547.80","1.30","549.10","-42.80","0","154.00","-1030.40","-896.40","76.40","972.80","-2456.40","0","850.50","-1030.40","-896.40","76.40","972.80","-2456.40","0","850.50","-708.12","4.19","64.97","60.78","-586.29","7.91","659.72","-708.12","4.19","64.97","60.78","-586.29","7.91","659.72"
"19","2021-II","-161.72","-684.30","154.66","838.96","767.32","-2.09","-221.72","-534.35","-1420.99","277.60","1698.58","1492.46","-4.19","-533.11","-273.61","-237.96","86.53","324.49","-50.99","0","-194.58","-434.91","-413.51","249.16","662.67","151.41","0","238.00","434.75","-236.64","76.35","312.99","-677.46","0","1274.19","946.99","-460.86","177.27","638.14","-910.25","0","1872.50","491.05","-7.84","200.80","208.64","-43.65","0","138.07","340.68","-269.22","351.65","620.87","26.51","0","66.65","-26.70","-165.00","5.70","170.70","-71.60","0","-45.10","-323.60","-712.80","7.00","719.80","-114.40","0","108.90","-46.20","-835.60","109.10","944.70","81.80","0","306.20","-1076.60","-1732.00","185.50","1917.50","-2374.60","0","1156.70","423.62","-277.74","143.37","421.11","1484.97","0.51","-739.17","-284.50","-273.55","208.35","481.90","898.69","8.43","-79.45"
"20","2021-III","-656.74","-1124.51","88.45","1212.96","635.00","-2.04","-588.44","-1191.08","-2545.50","366.04","2911.54","2127.45","-6.23","-1121.55","-511.56","19.23","237.35","218.12","-484.65","--","-838.71","-946.47","-394.28","486.51","880.79","-333.23","--","-600.71","942.42","-201.00","73.34","274.34","21.91","--","-9.50","1889.41","-661.86","250.62","912.48","-888.34","--","1863.00","-264.03","5.76","-134.92","-140.68","7.42","--","-617.57","76.65","-263.46","216.73","480.19","33.93","--","-550.92","-141.30","-230.70","2.40","233.10","-7.00","--","-347.40","-464.90","-943.50","9.40","952.90","-121.40","--","-238.50","-763.50","-678.90","-65.30","613.60","86.70","--","-531.20","-1840.10","-2410.90","120.20","2531.10","-2287.90","--","625.50","-828.28","-783.00","-204.01","578.98","1945.35","-14.32","-1297.31","-1112.78","-1056.54","4.34","1060.88","2844.04","-5.89","-1376.76"
"21","2021-IV","-543.10","-600.69","80.58","681.26","1476.77","-2.03","-799.72","-1734.19","-3146.18","446.62","3592.80","3604.22","-8.26","-1921.28","-553.35","80.88","30.60","-50.29","30.48","--","-589.81","-1499.81","-313.40","517.10","830.50","-302.75","--","-1190.52","-197.46","-2627.90","57.39","2685.29","-969.73","--","2174.35","1691.95","-3289.77","308.01","3597.77","-1858.07","--","4037.35","-763.80","-80.10","315.66","395.76","55.02","--","-468.25","-687.14","-343.56","532.38","875.94","88.95","--","-1019.16","-300.00","-263.00","4.00","267.00","104.00","--","-125.19","-764.90","-1206.50","13.40","1219.90","-17.40","--","-363.69","-1298.10","-691.20","32.70","723.90","-308.50","--","-402.90","-3138.20","-3102.10","152.90","3255.00","-2596.40","--","222.60","56.78","-572.83","127.13","699.96","897.95","-10.55","-688.30","-1056.01","-1629.37","131.47","1760.84","3741.99","-16.44","-2065.06"
"22","2022-I","-418.09","-919.43","113.07","1032.51","890.19","-2.12","-893.17","-418.09","-919.43","113.07","1032.51","890.19","-2.12","-893.17","-44.30","212.39","129.12","-83.27","-97.26","--","-602.81","-44.30","212.39","129.12","-83.27","-97.26","--","-602.81","316.32","-215.04","33.01","248.05","70.20","--","229.35","316.32","-215.04","33.01","248.05","70.20","--","229.35","-503.03","-323.23","-13.11","310.12","222.09","--","-339.30","-503.03","-323.23","-13.11","310.12","222.09","--","-339.30","-170.50","-474.60","6.20","480.80","-35.30","--","180.10","-170.50","-474.60","6.20","480.80","-35.30","--","180.10","-1763.30","-1001.70","68.00","1069.70","-2785.10","--","444.40","-1763.30","-1001.70","68.00","1069.70","-2785.10","--","444.40","-2896.16","-760.57","-137.55","623.02","-2362.32","24.83","-602.66","-2896.16","-760.57","-137.55","623.02","-2362.32","24.83","-602.66"
"23","2022-II","-576.36","-661.69","157.11","818.80","982.55","-2.11","-89.16","-994.45","-1581.13","270.18","1851.31","1872.75","-4.23","-982.33","-176.75","55.96","-126.95","-182.91","-43.32","--","-335.08","-221.05","268.35","2.17","-266.18","-140.58","--","-937.88","137.06","-213.02","63.58","276.60","851.03","--","128.05","453.38","-428.06","96.59","524.65","921.24","--","357.40","-194.64","-70.97","311.17","382.14","43.44","--","-14.76","-697.67","-394.20","298.06","692.26","265.52","--","-354.07","-313.00","-329.10","2.50","331.60","-24.20","--","-96.30","-483.50","-803.70","8.70","812.40","-59.50","--","83.80","-1147.00","-1018.80","65.50","1084.30","-11.30","--","-8.40","-2910.30","-2020.50","133.50","2154.00","-2796.40","--","436.00","-1638.97","-799.86","-446.21","353.65","218.78","-15.23","-261.69","-4535.13","-1560.43","-583.77","976.66","-2143.55","9.60","-864.35"
"24","2022-III","-1277.88","-592.03","105.63","697.66","650.57","-2.06","-2778.19","-2272.33","-2173.15","375.81","2548.96","2523.32","-6.29","-3760.52","-645.03","-222.87","-5.66","217.21","465.06","--","-694.17","-866.09","45.48","-3.49","-48.97","324.48","--","-1632.05","-251.17","-252.76","59.08","311.84","-487.55","--","-469.29","202.21","-680.82","155.67","836.49","433.69","--","-111.89","-106.35","-256.45","78.62","335.07","150.49","--","94.55","-804.03","-650.65","376.69","1027.34","416.02","--","-259.52","-364.60","-346.00","2.20","348.20","78.70","--","10.90","-848.10","-1149.70","10.90","1160.60","19.20","--","94.70","-2501.70","-1169.50","-206.40","963.10","-311.90","--","-401.30","-5412.00","-3190.00","-72.90","3117.10","-3108.30","--","34.70","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
